main_set,subset,subset_id,card_number,copies,card_names,card_ids
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-AVG92,2,Avengers | Avengers (1963) #92,"36778, 225986"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-AVG93,2,Avengers | Avengers (1963) #93,"36779, 225987"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-AVG94,2,Avengers | Avengers (1963) #94,"36780, 225988"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-AVG95,2,Avengers | Avengers (1963) #95,"36781, 225989"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-AVG96,2,Avengers | Avengers (1963) #96,"36782, 225990"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-GSA4,2,Giant-Size Avengers | Giant-Size Avengers (1974) #4,"36783, 226029"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-HOM1,2,House of M | House of M (2005) #1,"36784, 226030"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-HOM2,2,House of M | House of M (2005) #2,"36785, 226031"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-HOM3,2,House of M | House of M (2005) #3,"36786, 226032"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-HOM4,2,House of M | House of M (2005) #4,"36787, 226033"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-HOM5,2,House of M | House of M (2005) #5,"36788, 226034"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-NA1,2,New Avengers | New Avengers (2004) #1,"36789, 226035"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-NA11,2,New Avengers | New Avengers (2004) #11,"36790, 226037"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-NA27,2,New Avengers | New Avengers (2004) #27,"36791, 226038"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-NA7,2,New Avengers | New Avengers (2004) #7,"36792, 226036"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-S2,2,Siege | Siege (2009) #2,"36793, 226041"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-SI1,2,Secret Invasion | Secret Invasion (2008) #1,"36794, 226039"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-SI8,2,Secret Invasion | Secret Invasion (2008) #8,"36795, 226040"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-WCA45,2,West Coast Avengers | West Coast Avengers (1985) #45,"36796, 226044"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-WOTR1,2,War of the Realms | War of the Realms (2019) #1,"36797, 226042"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-WOTR6,2,War of the Realms | War of the Realms (2019) #6,"36798, 226043"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,CC-YA1,2,Young Avengers | Young Avengers (2005) #1,"36799, 226045"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-1,2,Avengers | Avengers (1963) #1,"36800, 226146"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-100,2,Avengers | Avengers (1963) #100,"36801, 226234"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-101,2,Avengers | Avengers (1963) #101,"36802, 226235"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-102,2,Avengers | Avengers (1963) #102,"36803, 226236"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-103,2,Avengers | Avengers (1963) #103,"36804, 226237"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-104,2,Avengers | Avengers (1963) #104,"36805, 226238"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-105,2,Avengers | Avengers (1963) #105,"36806, 226239"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-106,2,Avengers | Avengers (1963) #106,"36807, 226240"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-107,2,Avengers | Avengers (1963) #107,"36808, 226241"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-108,2,Avengers | Avengers (1963) #108,"36809, 226242"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-109,2,Avengers | Avengers (1963) #10,"36810, 226243"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-11,2,Avengers | Avengers (1963) #11,"36811, 226154"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-110,2,Avengers | Avengers (1963) #48,"36812, 226244"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-111,2,Avengers | Avengers (1963) #54,"36813, 226245"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-12,2,Avengers | Avengers (1963) #12,"36814, 226155"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-13,2,Avengers | Avengers (1963) #13,"36815, 226156"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-14,2,Avengers | Avengers (1963) #14,"36816, 226157"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-15,2,Avengers | Avengers (1963) #15,"36817, 226158"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-16,2,Avengers | Avengers (1963) #16,"36818, 226159"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-17,2,Avengers | Avengers (1963) #17,"36819, 226160"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-18,2,Avengers | Avengers (1963) #18,"36820, 226161"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-19,2,Avengers | Avengers (1963) #19,"36821, 226162"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-2,2,Avengers | Avengers (1963) #2,"36822, 226147"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-20,2,Avengers | Avengers (1963) #20,"36823, 226163"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-21,2,Avengers | Avengers (1963) #21,"36824, 226164"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-22,2,Avengers | Avengers (1963) #22,"36825, 226165"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-24,2,Avengers | Avengers (1963) #24,"36826, 226166"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-26,2,Avengers | Avengers (1963) #26,"36827, 226167"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-27,2,Avengers | Avengers (1963) #27,"36828, 226168"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-28,2,Avengers | Avengers (1963) #28,"36829, 226169"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-29,2,Avengers | Avengers (1963) #29,"36830, 226170"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-3,2,Avengers | Avengers (1963) #3,"36831, 226148"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-30,2,Avengers | Avengers (1963) #30,"36832, 226171"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-31,2,Avengers | Avengers (1963) #31,"36833, 226172"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-32,2,Avengers | Avengers (1963) #32,"36834, 226173"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-33,2,Avengers | Avengers (1963) #33,"36835, 226174"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-34,2,Avengers | Avengers (1963) #34,"36836, 226175"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-35,2,Avengers | Avengers (1963) #35,"36837, 226176"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-36,2,Avengers | Avengers (1963) #36,"36838, 226177"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-37,2,Avengers | Avengers (1963) #37,"36839, 226178"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-38,2,Avengers | Avengers (1963) #38,"36840, 226179"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-39,2,Avengers | Avengers (1963) #39,"36841, 226180"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-4,2,Avengers | Avengers (1963) #4,"36842, 226149"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-40,2,Avengers | Avengers (1963) #40,"36843, 226181"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-41,2,Avengers | Avengers (1963) #41,"36844, 226182"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-42,2,Avengers | Avengers (1963) #42,"36845, 226183"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-43,2,Avengers | Avengers (1963) #43,"36846, 226184"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-44,2,Avengers | Avengers (1963) #44,"36847, 226185"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-45,2,Avengers | Avengers (1963) #45,"36848, 226186"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-46,2,Avengers | Avengers (1963) #46,"36849, 226187"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-47,2,Avengers | Avengers (1963) #47,"36850, 226188"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-49,2,Avengers | Avengers (1963) #49,"36851, 226189"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-5,2,Avengers | Avengers (1963) #5,"36852, 226150"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-50,2,Avengers | Avengers (1963) #50,"36853, 226190"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-51,2,Avengers | Avengers (1963) #51,"36854, 226191"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-52,2,Avengers | Avengers (1963) #52,"36855, 226192"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-53,2,Avengers | Avengers (1963) #53,"36856, 226193"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-55,2,Avengers | Avengers (1963) #55,"36857, 226194"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-56,2,Avengers | Avengers (1963) #56,"36858, 226195"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-57,2,Avengers | Avengers (1963) #57,"36859, 226196"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-58,2,Avengers | Avengers (1963) #58,"36860, 226197"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-59,2,Avengers | Avengers (1963) #59,"36861, 226198"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-6,2,Avengers | Avengers (1963) #6,"36862, 226151"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-60,2,Avengers | Avengers (1963) #60,"36863, 226199"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-61,2,Avengers | Avengers (1963) #61,"36864, 226200"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-62,2,Avengers | Avengers (1963) #62,"36865, 226201"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-63,2,Avengers | Avengers (1963) #63,"36866, 226202"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-64,2,Avengers | Avengers (1963) #64,"36867, 226203"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-65,2,Avengers | Avengers (1963) #65,"36868, 226204"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-66,2,Avengers | Avengers (1963) #66,"36869, 226205"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-67,2,Avengers | Avengers (1963) #67,"36870, 226206"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-68,2,Avengers | Avengers (1963) #68,"36871, 226207"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-7,2,Avengers | Avengers (1963) #7,"36872, 226152"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-70,2,Avengers | Avengers (1963) #70,"36873, 226208"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-72,2,Avengers | Avengers (1963) #72,"36874, 226209"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-73,2,Avengers | Avengers (1963) #73,"36875, 226210"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-74,2,Avengers | Avengers (1963) #74,"36876, 226211"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-75,2,Avengers | Avengers (1963) #75,"36877, 226212"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-76,2,Avengers | Avengers (1963) #76,"36878, 226213"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-77,2,Avengers | Avengers (1963) #77,"36879, 226214"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-79,2,Avengers | Avengers (1963) #79,"36880, 226215"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-80,2,Avengers | Avengers (1963) #80,"36881, 226216"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-82,2,Avengers | Avengers (1963) #82,"36882, 226218"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-83,2,Avengers | Avengers (1963) #83,"36883, 226219"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-84,2,Avengers | Avengers (1963) #84,"36884, 226220"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-85,2,Avengers | Avengers (1963) #85,"36885, 226221"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-86,2,Avengers | Avengers (1963) #86,"36886, 226222"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-87,2,Avengers | Avengers (1963) #87,"36887, 226223"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-88,2,Avengers | Avengers (1963) #88,"36888, 226224"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-89,2,Avengers | Avengers (1963) #89,"36889, 226225"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-9,2,Avengers | Avengers (1963) #9,"36890, 226153"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-90,2,Avengers | Avengers (1963) #90,"36891, 226226"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-91,2,Avengers | Avengers (1963) #91,"36892, 226227"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-92,2,Avengers | Avengers (1963) #92,"36893, 226228"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-94,2,Avengers | Avengers (1963) #94,"36894, 226229"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-95,2,Avengers | Avengers (1963) #95,"36895, 226230"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-96,2,Avengers | Avengers (1963) #96,"36896, 226231"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-97,2,Avengers | Avengers (1963) #71,"36897, 226217"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-98,2,Avengers | Avengers (1963) #98,"36898, 226232"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,A-99,2,Avengers | Avengers (1963) #99,"36899, 226233"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Earth's Mightiest Spin-Offs,4368,SO-10,2,Hereos Reborn | Heroes Reborn,"36901, 226255"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Earth's Mightiest Spin-Offs Blue Foil,4369,SO-10,2,Hereos Reborn | Heroes Reborn,"36911, 226265"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Earth's Mightiest Spin-Offs Burgundy Foil,4370,SO-10,2,Hereos Reborn | Heroes Reborn,"36921, 226275"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Earth's Mightiest Spin-Offs Gold Spectrum Foil,4371,SO-10,2,Hereos Reborn | Heroes Reborn,"36931, 226285"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Earth's Mightiest Spin-Offs Green Foil,4372,SO-10,2,Hereos Reborn | Heroes Reborn,"36941, 226295"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Earth's Mightiest Spin-Offs Orange Foil,4373,SO-10,2,Hereos Reborn | Heroes Reborn,"36951, 226305"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Earth's Mightiest Spin-Offs Red Foil,4378,SO-10,2,Hereos Reborn | Heroes Reborn,"36971, 226355"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Gold Spectrum Foil,4380,101,2,Black Panther | Scarlet Witch,"36984, 226536"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Gold Spectrum Foil,4380,102,2,Black Widow | Spider-Man,"36985, 226537"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Gold Spectrum Foil,4380,103,2,Captain America | Thor,"36986, 226538"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Gold Spectrum Foil,4380,104,2,Clint Barton | Vision,"36987, 226539"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Gold Spectrum Foil,4380,41,2,M.O.D.O.K. | Mantis,"37025, 226486"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Gold Spectrum Foil,4380,42,2,Mantis | Maria Hill,"37026, 226487"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Gold Spectrum Foil,4380,43,2,Maria Hill | Mephisto,"37027, 226488"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Gold Spectrum Foil,4380,44,2,Mephisto | Miss America,"37028, 226489"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Gold Spectrum Foil,4380,45,2,Miss America | Mockingbird,"37029, 226490"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Gold Spectrum Foil,4380,46,2,M.O.D.O.K. | Mockingbird,"37030, 226491"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Greatest Battles,4381,EB-1,2,Age of Ultron | Ultron Vs Avengers,"37089, 226546"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Greatest Battles,4381,EB-11,2,Infinity Gauntlet | Thanos Vs. The Avengers,"37090, 226556"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Greatest Battles,4381,EB-12,2,Celestials vs The Avengers | Heroes Reborn,"37091, 226557"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Greatest Battles,4381,EB-2,2,Civil War | Registration Act,"37092, 226547"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Greatest Battles,4381,EB-3,2,Acts of Vengence | Loki Vs. The Avengers,"37093, 226548"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Greatest Battles,4381,EB-4,2,Korvac Vs. The Avengers | The Korvac Saga,"37094, 226549"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Greatest Battles,4381,EB-5,2,Operation: Galactic Storms | Shi'Ar And Kree Empires Vs. The Avengers,"37095, 226550"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Greatest Battles,4381,EB-6,2,House Of M | Scarlet Witch Vs. The Avengers,"37096, 226551"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Greatest Battles,4381,EB-8,2,Avengers V X-Men | X-Men Vs Avengers,"37097, 226553"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Greatest Battles,4381,EB-9,2,Dark Avengers vs The Avengers | Dark Reign,"37098, 226554"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Greatest Battles Green Foil,4385,EB-1,2,Age of Ultron | Ultron Vs Avengers,"37099, 226598"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Greatest Battles Green Foil,4385,EB-11,2,Infinity Gauntlet | Thanos Vs. The Avengers,"37100, 226608"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Greatest Battles Green Foil,4385,EB-12,2,Celestials vs The Avengers | Heroes Reborn,"37101, 226609"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Greatest Battles Green Foil,4385,EB-8,2,Avengers V X-Men | X-Men Vs Avengers,"37102, 226605"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Green Foil,4392,101,2,Black Panther | Scarlet Witch,"37104, 37111"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Green Foil,4392,102,2,Black Widow | Spider-Man,"37105, 37112"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Green Foil,4392,103,2,Captain America | Thor,"37106, 37114"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Green Foil,4392,104,2,Clint Barton | Vision,"37115, 37116"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Green Foil,4392,41,2,M.O.D.O.K. | Mantis,"37162, 37163"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Green Foil,4392,42,2,Mantis | Maria Hill,"37164, 37165"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Green Foil,4392,43,2,Maria Hill | Mephisto,"37166, 226731"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Green Foil,4392,44,2,Mephisto | Miss America,"37167, 37168"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Green Foil,4392,45,2,Miss America | Mockingbird,"37169, 226733"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Green Foil,4392,46,2,M.O.D.O.K. | Mockingbird,"37170, 226734"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Marvel Value Stamps Relics,2381,VS-1,2,"Ant-Man | Ant-ManMEM,","38258, 180727"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Marvel Value Stamps Relics,2381,VS-10,2,"Daredevil | DaredevilMEM,","38259, 180736"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Marvel Value Stamps Relics,2381,VS-11,2,"Doctor Druid | Doctor DruidMEM,","38260, 180737"
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Marvel Value Stamps Relics,2381,VS-12,2,"Dormammu | DormammuMEM,","38261, 180738"
