main_set,subset,year,card_number,card_name
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,91,Black Panther
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,92,Black Widow
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,93,Captain America
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,94,Clint Barton
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,95,Hank Pym
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,96,Hercules
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,97,Hulk
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,98,Iron Man
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,99,Namor
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,100,Quicksilver
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,101,Scarlet Witch
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,101,Black Panther
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,102,Black Widow
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,102,Spider-Man
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,103,Captain America
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,103,Thor
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,104,Vision
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,104,Clint Barton
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,105,Hank Pym
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,106,Hercules
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,107,Hulk
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,109,Namor
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,110,Quicksilver
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,111,Scarlet Witch
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Orange Foil,2022,112,Spider-Man
2023 Upper Deck Marvel What If…?,2023 Upper Deck Marvel What If…? - Infinity Ultron Metal,2023,IU-1,Mind
2023 Upper Deck Marvel What If…?,2023 Upper Deck Marvel What If…? - Infinity Ultron Metal,2023,IU-2,Reality
2023 Upper Deck Marvel What If…?,2023 Upper Deck Marvel What If…? - Infinity Ultron Metal,2023,IU-3,Power
2023 Upper Deck Marvel What If…?,2023 Upper Deck Marvel What If…? - Infinity Ultron Metal,2023,IU-4,Space
2023 Upper Deck Marvel What If…?,2023 Upper Deck Marvel What If…? - Infinity Ultron Metal,2023,IU-4,Infinity Ultron Space
2023 Upper Deck Marvel What If…?,2023 Upper Deck Marvel What If…? - Infinity Ultron Metal,2023,IU-5,Infinity Ultron Soul
2023 Upper Deck Marvel What If…?,2023 Upper Deck Marvel What If…? - Infinity Ultron Metal,2023,IU-5,Soul
2023 Upper Deck Marvel What If…?,2023 Upper Deck Marvel What If…? - Infinity Ultron Metal,2023,IU-6,Time
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Future Stars,2025,FS-1,Ghost-Spider
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Future Stars,2025,FS-2,Rek-Rap
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Future Stars,2025,FS-3,Spider-Girl
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Future Stars,2025,FS-4,Samurai Venom
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Future Stars,2025,FS-5,Bloodline
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Future Stars,2025,FS-6,Jeff The Land Shark
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Future Stars,2025,FS-7,Spider-Boy
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Future Stars,2025,FS-8,Amaranth
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,1,Checklist
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,1,Hobby Box
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,2,Ant-Man
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,3,Angel
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,4,Beast
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,5,Beta-Ray-Bill
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,7,Black Knight
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,8,Black Panther
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,9,Black Widow
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,10,Blade
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,13,Captain America
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,15,Captain Marvel
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,16,Cloak
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,17,Colossus
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,18,Crystal
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,19,Cyclops
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,20,Dagger
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,22,Darkhawk
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,23,Deadpool
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,24,Deathlok
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,25,Doctor Strange
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,26,Doctor Voodoo
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,27,Elektra
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,29,Falcon
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,32,Ghost Rider
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,33,Gorilla Man
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,34,Havok
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,35,Hawkeye
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,36,Hellcat
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,37,Hercules
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,38,Hulk
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,39,Human Torch
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,40,Invisible Woman
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,41,Iron Fist
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,42,Iron Man
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,43,Jean Grey
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,45,Justice
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,46,Ka-Zar
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,47,Luke Cage
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,48,Magik
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,49,Man-Thing
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,50,Mantis
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,51,Medusa
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,52,Misty Knight
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,53,Mockingbird
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,55,Mr. Fantastic
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,56,Nightcrawler
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,57,Nova
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,58,Psylocke
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,59,Quasar
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,60,Red Hulk
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,62,Rogue
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,63,Ronin
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,65,Sentry
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,66,She-Hulk
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,67,Shroud
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,69,Spider-Girl
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,70,Spider-Man
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,71,Starhawk
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,73,Thing
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,74,Thor
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,75,Valkyrie
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,76,Vision
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,77,Warlock
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,79,Winter Soldier
2012 Rittenhouse Marvel Greatest Heroes,2012 Rittenhouse Marvel Greatest Heroes - 2012 Rittenhouse Marvel Greatest Heroes,2012,81,X-23
2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - 1st Appearances,2022,FA-3,Wasp
2024 Upper Deck Marvel Masterpieces Nahuel Grego,2024 Upper Deck Marvel Masterpieces Nahuel Grego - Canvas Gallery,2024,CG-10,Thor
2024 Upper Deck Marvel Masterpieces Nahuel Grego,2024 Upper Deck Marvel Masterpieces Nahuel Grego - Canvas Gallery,2024,CG-7,Silver Samurai
2024 Upper Deck Marvel Masterpieces Nahuel Grego,2024 Upper Deck Marvel Masterpieces Nahuel Grego - Canvas Gallery,2024,CG-9,Strong Guy
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,7,Wolverine vs. Stryfe
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,13,Deadpool vs. Skrull
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,14,Wolverine vs. Omega Red
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,22,Iron Fist vs. Quan Yaozu
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,29,Daredevil vs. Lady Bullseye
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,30,Ms. Marvel vs. Ms. Marvel
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,34,Rogue vs. Emplate
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,35,Wolverine vs. Magneto
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,36,Spider-Man vs. Mister Negative
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,40,Moon Knight vs. Venom
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,46,Punisher vs. Bullseye
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,49,Rocket Raccoon vs. Blastaar
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,51,Storm vs. Sabretooth
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,56,Black Panther vs. Wakandan Tribesman
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,58,Spider-Man vs. Red Hulk
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,60,She-Hulk vs. Ursa Major
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,63,Wolverine vs. Daken
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,64,Hulk vs. Red Hulk
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,65,Wolverine vs. Sabretooth
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,66,Moon Knight vs. Midnight
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,69,Punisher vs. Skrull
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,72,Iron Man vs. Winter Soldier
2010 Rittenhouse Marvel Heroes and Villains,2010 Rittenhouse Marvel Heroes and Villains - 2010 Rittenhouse Marvel Heroes and Villains,2010,78,Spider-Man vs. Morbius
2023 Upper Deck Marvel Platinum ,2023 Upper Deck Marvel Platinum - Green Crackle,2023,83,Spider-Man (Symbiote Suit)
2023 Upper Deck Marvel Platinum ,2023 Upper Deck Marvel Platinum - Green Crackle,2023,175,Silver Sable
2023 Upper Deck Marvel Platinum ,2023 Upper Deck Marvel Platinum - Green Crackle,2023,177,Silk
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,1,"MedusaAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,2,"PhotonAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,3,"JubileeAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,5,"Lady LokiAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,6,"StormAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,7,"MoonstoneAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,8,"EnchantressAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,9,"RogueAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,10,"Ghost-SpiderAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,12,"MystiqueAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,13,"Black WidowAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,14,"Kitty PrydeAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,15,"Ms. MarvelAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,16,"Lady DeathstrikeAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,17,"GamoraAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,18,"CalypsoAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,19,"Jessica JonesAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,20,"ShuriAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,21,"Karolina DeanAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,22,"Captain MarvelAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,23,"Miss AmericaAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,24,"HelaAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,25,"X-23AU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,26,"Molly HayesAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,27,"WaveAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,28,"AeroAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,29,"HawkeyeAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,30,"DeathAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,31,"ScreamAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,36,"MirageAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,37,"AuroraAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,40,"DestinyAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,41,"TitaniaAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,43,"WaspAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,50,"PixieAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,51,"Silver SableAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,53,"Jennifer KaleAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,54,"HellcatAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,56,"LilithAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,57,"Madelyne PryorAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,58,"Black CatAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,60,"Scarlet WitchAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,61,"NebulaAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,62,"PsylockeAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,63,"Emma FrostAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,64,"Karen PageAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,65,"She-HulkAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,68,"Jean GreyAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,69,"SongbirdAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,70,"TigraAU,"
2024 Fleer Ultra Matriarchs of Marvel,2024 Fleer Ultra Matriarchs of Marvel - Green Foil Autographs,2024,71,"MockingbirdAU,"
